==762053== NVPROF is profiling process 762053, command: exe/linux_inference -gpu 0 -model googlenet
==762053== Profiling application: exe/linux_inference -gpu 0 -model googlenet
==762053== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,ms,
"GPU activities",82.745593,31.312781,367,85.320000,0.832000,7.277551,"[CUDA memcpy HtoD]"
"GPU activities",3.142618,1.189237,23,51.705000,29.696000,0.078719,"void cudnn::detail::implicit_convolve_sgemm<float, float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, float*, cudnn::detail::implicit_convolve_sgemm<float, float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, kernel_conv_params, int, float, float, int, float, float, int, int)"
"GPU activities",2.450492,0.927321,14,66.237000,12.288000,0.304894,"volta_sgemm_128x64_nn"
"GPU activities",2.082826,0.788188,13,60.629000,37.568000,0.068639,"volta_scudnn_128x64_relu_interior_nn_v1"
"GPU activities",1.765887,0.668251,13,51.403000,16.063000,0.126079,"void at::native::_GLOBAL__N__62_tmpxft_000088e1_00000000_9_DilatedMaxPool2d_compute_70_cpp1_ii_6258b574::max_pool_forward_nchw<float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__62_tmpxft_000088e1_00000000_9_DilatedMaxPool2d_compute_70_cpp1_ii_6258b574::max_pool_forward_nchw<float, float>*, long*)"
"GPU activities",1.567672,0.593242,57,10.407000,2.240000,0.150975,"void cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_NCHW<float, float, bool=1, int=1>)"
"GPU activities",1.308329,0.495101,14,35.364000,6.272000,0.248542,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)"
"GPU activities",1.167109,0.441660,57,7.748000,1.312000,0.137567,"_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_83_GLOBAL__N__59_tmpxft_000083ec_00000000_9_TensorCompare_compute_70_cpp1_ii_d0af11f728clamp_min_scalar_kernel_implERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_"
"GPU activities",0.949114,0.359166,4,89.791000,59.456000,0.157663,"volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1"
"GPU activities",0.695601,0.263231,14,18.802000,5.248000,0.103871,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)"
"GPU activities",0.621015,0.235006,1,235.006000,235.006000,0.235006,"volta_scudnn_128x64_relu_medium_nn_v1"
"GPU activities",0.617971,0.233854,9,25.983000,9.888000,0.068288,"void at::native::_GLOBAL__N__51_tmpxft_00008949_00000000_9_Shape_compute_70_cpp1_ii_cedd8df2::CatArrayBatchedCopy<float, unsigned int, int=4, int=128, int=1>(float*, at::native::_GLOBAL__N__51_tmpxft_00008949_00000000_9_Shape_compute_70_cpp1_ii_cedd8df2::CatArrInputTensorMetadata<at::native::_GLOBAL__N__51_tmpxft_00008949_00000000_9_Shape_compute_70_cpp1_ii_cedd8df2::CatArrayBatchedCopy<float, unsigned int, int=4, int=128, int=1>, unsigned int, int=128, int=1>, at::native::_GLOBAL__N__51_tmpxft_00008949_00000000_9_Shape_compute_70_cpp1_ii_cedd8df2::TensorSizeStride<at::native::_GLOBAL__N__51_tmpxft_00008949_00000000_9_Shape_compute_70_cpp1_ii_cedd8df2::CatArrInputTensorMetadata, unsigned int=4>, int, at::native::_GLOBAL__N__51_tmpxft_00008949_00000000_9_Shape_compute_70_cpp1_ii_cedd8df2::CatArrInputTensorMetadata)"
"GPU activities",0.418067,0.158206,14,11.300000,3.616000,0.032416,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>)"
"GPU activities",0.126840,0.047999,1,47.999000,47.999000,0.047999,"volta_scudnn_128x128_relu_interior_nn_v1"
"GPU activities",0.079657,0.030144,1,30.144000,30.144000,0.030144,"volta_scudnn_128x32_relu_small_nn_v1"
"GPU activities",0.076444,0.028928,16,1.808000,1.536000,0.002112,"cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams)"
"GPU activities",0.058601,0.022176,1,22.176000,22.176000,0.022176,"volta_sgemm_64x32_sliced1x4_tn"
"GPU activities",0.050230,0.019008,4,4.752000,3.392000,0.005696,"void cudnn::winograd::generateWinogradTilesKernel<int=0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)"
"GPU activities",0.035685,0.013504,1,13.504000,13.504000,0.013504,"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, int=4>>(float)"
"GPU activities",0.019954,0.007551,4,1.887000,1.504000,0.002911,"[CUDA memset]"
"GPU activities",0.012600,0.004768,1,4.768000,4.768000,0.004768,"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE1_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjLb0EESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_"
"GPU activities",0.007695,0.002912,1,2.912000,2.912000,0.002912,"void splitKreduce_kernel<float, float, float>(cublasSplitKParams<float>, float const *, float const *, float*, float const *, float const *)"
"API calls",98.719558,8139.012616,56,145339.511000,4.474000,8124.740832,"cudaMalloc"
"API calls",0.632352,52.134729,365,142.834000,3.692000,7.999538,"cudaMemcpyAsync"
"API calls",0.466421,38.454464,194,198.218000,0.119000,19.173420,"cuDeviceGetAttribute"
"API calls",0.045066,3.715485,365,10.179000,1.875000,0.089306,"cudaStreamSynchronize"
"API calls",0.038020,3.134563,2,1567.281000,1424.722000,1.709841,"cuDeviceTotalMem"
"API calls",0.034971,2.883196,259,11.132000,5.239000,0.059603,"cudaLaunchKernel"
"API calls",0.022280,1.836885,5557,0.330000,0.224000,0.016851,"cudaGetDevice"
"API calls",0.014985,1.235419,4,308.854000,157.309000,0.761377,"cudaGetDeviceProperties"
"API calls",0.009378,0.773184,1,773.184000,773.184000,0.773184,"cudaHostAlloc"
"API calls",0.005361,0.442009,8,55.251000,4.328000,0.310288,"cudaStreamCreateWithFlags"
"API calls",0.003236,0.266820,338,0.789000,0.365000,0.007690,"cudaFuncSetAttribute"
"API calls",0.002171,0.179019,115,1.556000,0.985000,0.008612,"cudaEventRecord"
"API calls",0.001620,0.133537,4,33.384000,17.614000,0.073222,"cudaMemsetAsync"
